IATA,AIRPORT,CITY,STATE,LATITUDE,LONGITUDE,ALT_ID
ABE,Lehigh Valley International Airport,Allentown,PA,40.65236,-75.4404,10135
ABI,Abilene Regional Airport,Abilene,TX,32.41132,-99.6819,10136
ABQ,Albuquerque International Sunport,Albuquerque,NM,35.04022,-106.60919,10140
ABR,Aberdeen Regional Airport,Aberdeen,SD,45.44906,-98.42183,10141
ABY,Southwest Georgia Regional Airport,Albany,GA,31.53552,-84.19447,10146
ACK,Nantucket Memorial Airport,Nantucket,MA,41.25305,-70.06018,10154
ACT,Waco Regional Airport,Waco,TX,31.61129,-97.23052,10155
ACV,Arcata Airport,Arcata/Eureka,CA,40.97812,-124.10862,10157
ACY,Atlantic City International Airport,Atlantic City,NJ,39.45758,-74.57717,10158
ADK,Adak Airport,Adak,AK,51.87796,-176.64603,10165
ADQ,Kodiak Airport,Kodiak,AK,57.74997,-152.49386,10170
AEX,Alexandria International Airport,Alexandria,LA,31.32737,-92.54856,10185
AGS,Augusta Regional AirportÂ (Bush Field),Augusta,GA,33.36996,-81.9645,10208
AKN,King Salmon Airport,King Salmon,AK,58.6768,-156.64922,10245
ALB,Albany International Airport,Albany,NY,42.74812,-73.80298,10257
ALO,Waterloo Regional Airport,Waterloo,IA,42.55708,-92.40034,10268
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,35.21937,-101.70593,10279
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,61.17432,-149.99619,10299
APN,Alpena County Regional Airport,Alpena,MI,45.07807,-83.56029,10333
ASE,Aspen-Pitkin County Airport,Aspen,CO,39.22316,-106.86885,10372
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,10397
ATW,Appleton International Airport,Appleton,WI,44.25741,-88.51948,10408
AUS,Austin-Bergstrom International Airport,Austin,TX,30.19453,-97.66987,10423
AVL,Asheville Regional Airport,Asheville,NC,35.43619,-82.54181,10431
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,41.33815,-75.72427,10434
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,42.23488,-85.55206,10469
BDL,Bradley International Airport,Windsor Locks,CT,41.93887,-72.68323,10529
BET,Bethel Airport,Bethel,AK,60.77978,-161.838,10551
BFL,Meadows Field,Bakersfield,CA,35.4336,-119.05677,10561
BGM,Greater Binghamton Airport,Binghamton,NY,42.20848,-75.97961,10577
BGR,Bangor International Airport,Bangor,ME,44.80744,-68.82814,10581
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,33.56294,-86.75355,10599
BIL,Billings Logan International Airport,Billings,MT,45.80766,-108.54286,10620
BIS,Bismarck Municipal Airport,Bismarck,ND,46.77411,-100.74672,10627
BJI,Bemidji Regional Airport,Bemidji,MN,47.50942,-94.93372,10631
BLI,Bellingham International Airport,Bellingham,WA,48.79275,-122.53753,10666
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,40.47799,-88.91595,10685
BNA,Nashville International Airport,Nashville,TN,36.12448,-86.67818,10693
BOI,Boise AirportÂ (Boise Air Terminal),Boise,ID,43.56444,-116.22278,10713
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,42.36435,-71.00518,10721
BPT,Jack Brooks Regional AirportÂ (Southeast Texas Regional),Beaumont/Port Arthur,TX,29.95083,-94.02069,10728
BQK,Brunswick Golden Isles Airport,Brunswick,GA,31.25903,-81.46631,10731
BQN,Rafael HernÃ¡ndez Airport,Aguadilla,PR,18.49486,-67.12944,10732
BRD,Brainerd Lakes Regional Airport,Brainerd,MN,46.39786,-94.13723,10739
BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,25.90683,-97.42586,10747
BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,71.28545,-156.766,10754
BTM,Bert Mooney Airport,Butte,MT,45.9548,-112.49746,10779
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,30.53316,-91.14963,10781
BTV,Burlington International Airport,Burlington,VT,44.473,-73.15031,10785
BUF,Buffalo Niagara International Airport,Buffalo,NY,42.94052,-78.73217,10792
BUR,Bob Hope AirportÂ (Hollywood Burbank Airport),Burbank,CA,34.20062,-118.3585,10800
BWI,Baltimore-Washington International Airport,Baltimore,MD,39.1754,-76.6682,10821
BZN,Bozeman Yellowstone International AirportÂ (Gallatin Field Airport),Bozeman,MT,45.7769,-111.15301,10849
CAE,Columbia Metropolitan Airport,Columbia,SC,33.93884,-81.11954,10868
CAK,Akron-Canton Regional Airport,Akron,OH,40.91631,-81.44247,10874
CDC,Cedar City Regional Airport,Cedar City,UT,37.70097,-113.09858,10918
CDV,Merle K. (Mudhole) Smith Airport,Cordova,AK,60.49183,-145.47765,10926
CEC,Del Norte County AirportÂ (Jack McNamara Field),Crescent City,CA,41.78016,-124.23653,10930
CHA,Chattanooga Metropolitan AirportÂ (Lovell Field),Chattanooga,TN,35.03527,-85.20379,10980
CHO,Charlottesville-Albemarle Airport,Charlottesville,VA,38.13864,-78.45286,10990
CHS,Charleston International Airport/Charleston AFB,Charleston,SC,32.89865,-80.04051,10994
CID,The Eastern Iowa Airport,Cedar Rapids,IA,41.88459,-91.71087,11003
CIU,Chippewa County International Airport,Sault Ste. Marie,MI,46.25075,-84.47239,11013
CLD,McClellan-Palomar Airport,San Diego,CA,33.12723,-117.27873,11041
CLE,Cleveland Hopkins International Airport,Cleveland,OH,41.41089,-81.8494,11042
CLL,Easterwood Airport,College Station,TX,30.58859,-96.36382,11049
CLT,Charlotte Douglas International Airport,Charlotte,NC,35.21401,-80.94313,11057
CMH,Port Columbus International Airport,Columbus,OH,39.99799,-82.89188,11066
CMI,University of Illinois - Willard Airport,Champaign/Urbana,IL,40.03925,-88.27806,11067
CMX,Houghton County Memorial Airport,Hancock,MI,47.16842,-88.48906,11076
CNY,Canyonlands Field,Moab,UT,38.75496,-109.75484,11092
COD,Yellowstone Regional Airport,Cody,WY,44.52019,-109.0238,11097
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,38.80581,-104.70025,11109
COU,Columbia Regional Airport,Columbia,MO,38.81809,-92.21963,11111
CPR,Natrona County International Airport,Casper,WY,42.90836,-106.46447,11122
CRP,Corpus Christi International Airport,Corpus Christi,TX,27.77036,-97.50122,11140
CRW,Yeager Airport,Charleston,WV,38.37315,-81.59319,11146
CSG,Columbus Metropolitan Airport,Columbus,GA,32.51633,-84.93886,11150
CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,39.04614,-84.66217,11193
CWA,Central Wisconsin Airport,Mosinee,WI,44.77762,-89.66678,11203
DAB,Daytona Beach International Airport,Daytona Beach,FL,29.17992,-81.05806,11252
DAL,Dallas Love Field,Dallas,TX,32.84711,-96.85177,11259
DAY,James M. Cox Dayton International Airport,Dayton,OH,39.90238,-84.21938,11267
DBQ,Dubuque Regional Airport,Dubuque,IA,42.40296,-90.70917,11274
DCA,Ronald Reagan Washington National Airport,Arlington,VA,38.85208,-77.03772,11278
DEN,Denver International Airport,Denver,CO,39.85841,-104.667,11292
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,32.89595,-97.0372,11298
DHN,Dothan Regional Airport,Dothan,AL,31.32134,-85.44963,11308
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,46.79739,-102.80195,11315
DLG,Dillingham Airport,Dillingham,AK,59.04541,-158.50334,11336
DLH,Duluth International Airport,Duluth,MN,46.84209,-92.19365,11337
DRO,Durango-La Plata County Airport,Durango,CO,37.15152,-107.75377,11413
DSM,Des Moines International Airport,Des Moines,IA,41.53493,-93.66068,11423
DTW,Detroit Metropolitan Airport,Detroit,MI,42.21206,-83.34884,11433
DVL,Devils Lake Regional Airport,Devils Lake,ND,48.11425,-98.90878,11447
EAU,Chippewa Valley Regional Airport,Eau Claire,WI,44.86526,-91.48507,11471
ECP,Northwest Florida Beaches International Airport,Panama City,FL,30.35833,-85.795556,11481
EGE,Eagle County Regional Airport,Eagle,CO,39.64257,-106.9177,11503
EKO,Elko Regional Airport,Elko,NV,40.82493,-115.7917,11525
ELM,Elmira/Corning Regional Airport,Elmira,NY,42.15991,-76.89144,11537
ELP,El Paso International Airport,El Paso,TX,31.80667,-106.37781,11540
ERI,Erie International Airport,Erie,PA,42.08202,-80.17622,11577
ESC,Delta County Airport,Escanaba,MI,45.72267,-87.09373,11587
EUG,Eugene AirportÂ (Mahlon Sweet Field),Eugene,OR,44.12326,-123.21869,11603
EVV,Evansville Regional Airport,Evansville,IN,38.03799,-87.53063,11612
EWN,Coastal Carolina Regional AirportÂ (Craven County Regional),New Bern,NC,35.07297,-77.04294,11617
EWR,Newark Liberty International Airport,Newark,NJ,40.6925,-74.16866,11618
EYW,Key West International Airport,Key West,FL,24.55611,-81.75956,11624
FAI,Fairbanks International Airport,Fairbanks,AK,64.81368,-147.85967,11630
FAR,Hector International Airport,Fargo,ND,46.91935,-96.81499,11637
FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619,-119.71814,11638
FAY,Fayetteville Regional Airport,Fayetteville,NC,34.99147,-78.88,11641
FCA,Glacier Park International Airport,Kalispell,MT,48.3114,-114.25507,11648
FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,35.13845,-111.67122,11695
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,26.07258,-80.15275,11697
FNT,Bishop International Airport,Flint,MI,42.9655,-83.74346,11721
FSD,Sioux Falls Regional Airport,Sioux Falls,SD,43.58135,-96.7417,11775
FSM,Fort Smith Regional Airport,Fort Smith,AR,35.33659,-94.36744,11778
FWA,Fort Wayne International Airport,Fort Wayne,IN,40.97847,-85.19515,11823
GCC,Gillette-Campbell County Airport,Gillette,WY,44.3489,-105.53936,11865
GCK,Garden City Regional Airport,Garden City,KS,37.92752,-100.72441,11867
GEG,Spokane International Airport,Spokane,WA,47.61986,-117.53384,11884
GFK,Grand Forks International Airport,Grand Forks,ND,47.94926,-97.17611,11898
GGG,East Texas Regional Airport,Longview,TX,32.38486,-94.71171,11905
GJT,Grand Junction Regional AirportÂ (Walker Field),Grand Junction,CO,39.12241,-108.52673,11921
GNV,Gainesville Regional Airport,Gainesville,FL,29.69006,-82.27178,11953
GPT,Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS,30.40728,-89.07009,11973
GRB,Green Bay-Austin Straubel International Airport,Green Bay,WI,44.48507,-88.12959,11977
GRI,Central Nebraska Regional Airport,Grand Island,NE,40.96747,-98.30861,11980
GRK,Killeen-Fort Hood Regional Airport,Killeen,TX,31.0649,-97.8278,11982
